"Atendimento";"Placa";"Motivo OS"
"6450761";"SHG7G51";"CORRETIVA"
"6450760";"GKI6G12";"CORRETIVA"
"6450759";"SVL8D01";"CORRETIVA"
"6450758";"SSW3C10";"PREVENTIVA"
"6450757";"ENU3F75";"CORRETIVA"
"6450756";"GHE1D43";"CORRETIVA"
"6450755";"SYN3A42";"SINISTRO"
"6450754";"FOD9J41";""
"6450753";"SUP5I70";"CORRETIVA"
"6450752";"EZN7F74";""
"6450751";"FUQ1C53";"CORRETIVA"
"6450750";"EVW7F32";""
"6450749";"SSV6G74";"CORRETIVA"
"6450748";"FQJ3A93";"CORRETIVA"
"6450747";"SUA3D82";""
"6450746";"SHQ1H64";"PREVENTIVA"
"6450745";"SHQ1H68";"PREVENTIVA"
"6450744";"SSW6C48";"PREVENTIVA"
"6450743";"SVM5I10";"PREVENTIVA"
"6450742";"SYY7I84";"PREVENTIVA"
"6450741";"EQF3A52";"CORRETIVA"
"6450740";"SYQ7C76";"PREVENTIVA"
"6450739";"ECU9A85";"CORRETIVA"
"6450738";"FJU5J72";"SINISTRO"
"6450737";"SYZ2I08";"CORRETIVA"
"6450736";"GFV9A02";"CORRETIVA"
"6450735";"QXP8F49";"SINISTRO"
"6450734";"EZU1C72";"CORRETIVA"
"6450733";"TIY4D66";""
"6450732";"SHQ1H68";"PREVENTIVA"
"6450731";"EOB2H64";"CORRETIVA"
"6450730";"SHQ1H64";"PREVENTIVA"
"6450729";"RUZ4A31";"CORRETIVA"
"6450728";"ECU1H24";"PREVENTIVA"
"6450727";"SUQ1I31";""
"6450726";"RVW2H21";"CORRETIVA"
"6450725";"SST7J86";""
"6450724";"TMH3F62";"PREVENTIVA"
"6450723";"SVF8I32";""
"6450722";"SYT7G81";"CORRETIVA"
"6450721";"RMO2E36";"SINISTRO"
"6450720";"SHG2H08";"CORRETIVA"
"6450719";"TJE0A55";"GUINCHO"
"6450718";"SYX0D68";"PREVENTIVA"
"6450717";"TJE0A55";"PREVENTIVA"
"6450716";"RFY1A12";""
"6450715";"SIN6F76";"PREVENTIVA"
"6450714";"OPP2D77";"CORRETIVA"
"6450713";"SHH1D98";"CORRETIVA"
"6450712";"TIX0I44";""
"6450711";"SVM5H43";""
"6450710";"SYR5H31";"CORRETIVA"
"6450709";"CUR2F69";"CORRETIVA"
"6450708";"FDE1F03";"PREVENTIVA"
"6450707";"EXR0F63";"PREVENTIVA"
"6450706";"SVE4B91";"PREVENTIVA"
"6450705";"HIV7C97";"CORRETIVA"
"6450704";"QUW5711";"CORRETIVA"
"6450703";"SYF9C45";"CORRETIVA"
"6450702";"STO0J05";"CORRETIVA"
"6450701";"SHH1C73";"CORRETIVA"
"6450700";"EVI7G42";"VISTORIA DE DESMOBILIZAÇÃO"
"6450699";"EVI7G42";"RASTREADOR RETIRADA"
"6450698";"SWK1I42";"CORRETIVA"
"6450697";"EVI7G42";"DESMOBILIZAÇÃO"
"6450696";"SIR6J69";"CORRETIVA"
"6450695";"SJA1G87";"SINISTRO"
"6450694";"SYR7J34";"CORRETIVA"
"6450692";"RUG8E29";"CORRETIVA"
"6450691";"EXU6E83";"CORRETIVA"
"6450690";"SIH5H65";"PREVENTIVA"
"6450689";"SVM5H43";"CORRETIVA"
"6450688";"SIG0E42";"CORRETIVA"
"6450687";"QUA7684";"CORRETIVA"
"6450686";"CUW0A97";"PREVENTIVA"
"6450685";"SUJ8G62";"PREVENTIVA"
"6450684";"BYP2E01";"PREVENTIVA"
"6450683";"RVF0C95";"CORRETIVA"
"6450682";"DUH6I71";""
"6450681";"END0D94";"SINISTRO"
"6450680";"ESU3I93";"CORRETIVA"
"6450679";"SUB2B05";""
"6450678";"SJA1F04";"CORRETIVA"
"6450677";"EKU6H93";"SINISTRO"
"6450676";"OPP2F04";"PREVENTIVA"
"6450675";"SYY2A24";"SINISTRO"
"6450674";"FUB8B31";"PREVENTIVA"
"6450672";"STP9G80";"CORRETIVA"
"6450671";"EQX1B42";""
"6450670";"FJA4H81";""
"6450669";"EKU1F06";"CORRETIVA"
"6450668";"RVF0C95";"CORRETIVA"
"6450667";"RVW2H47";"CORRETIVA"
"6450665";"SYU9H39";"PREVENTIVA"
"6450664";"EZN7F74";""
"6450663";"EUK6G51";"PREVENTIVA"
"6450662";"SYU9H39";""
"6450661";"SYY3H91";"CORRETIVA"
"6450660";"SYU9H39";""
"6450659";"STN8F25";"CORRETIVA"
"6450658";"STS2C31";"DESMOBILIZAÇÃO"
"6450657";"STS2C31";"RASTREADOR RETIRADA"
"6450656";"TCP9B09";"GUINCHO"
"6450655";"SYK7D89";"CORRETIVA"
"6450654";"FVK6D11";""
"6450653";"SII6J16";"PREVENTIVA"
"6450652";"SII6J16";""
"6450651";"TJN8C41";"PREVENTIVA"
"6450650";"SVQ4C41";"PREVENTIVA"
"6450649";"SIG9D31";"CORRETIVA"
"6450648";"SVS7D31";"PREVENTIVA"
"6450647";"TJZ7A25";""
"6450646";"STU3C52";"CORRETIVA"
"6450645";"SHE6E33";"SINISTRO"
"6450644";"EZX5I72";"PREVENTIVA"
"6450643";"RVS5H31";"CORRETIVA"
"6450642";"SYO4G05";"PREVENTIVA"
"6450641";"RFY1A12";"CORRETIVA"
"6450640";"GEG7H93";"CORRETIVA"
"6450639";"SHE6E08";"SINISTRO"
"6450638";"FNZ4D67";"PREVENTIVA"
"6450637";"SII6J16";"CORRETIVA"
"6450636";"TCF3I50";"CORRETIVA"
"6450635";"SHT9I48";"RASTREADOR RETIRADA"
"6450634";"SHL4J25";"RASTREADOR RETIRADA"
"6450633";"SHT9I54";"RASTREADOR RETIRADA"
"6450632";"SYO4G05";"PREVENTIVA"
"6450631";"STQ0A95";"PREVENTIVA"
"6450629";"SHT9I46";"RASTREADOR RETIRADA"
"6450628";"RFR7G32";"PREVENTIVA"
"6450627";"SHT9I43";"RASTREADOR RETIRADA"
"6450626";"SYO4G05";"PREVENTIVA"
"6450625";"SHT9I54";"DESMOBILIZAÇÃO"
"6450624";"SHT9I46";"DESMOBILIZAÇÃO"
"6450623";"SYO4G05";""
"6450622";"SHT9I43";"DESMOBILIZAÇÃO"
"6450621";"SVD3F43";"CORRETIVA"
"6450620";"SHL4J25";"DESMOBILIZAÇÃO"
"6450619";"SHT9I48";"DESMOBILIZAÇÃO"
"6450618";"PVR4F17";"CORRETIVA"
"6450617";"SYO4G05";"PREVENTIVA"
"6450616";"SYO9B63";"PREVENTIVA"
"6450615";"SUO5D92";"PREVENTIVA"
"6450614";"SSZ0E21";"DESMOBILIZAÇÃO"
"6450613";"SSZ0E21";"RASTREADOR RETIRADA"
"6450612";"RMR5E84";"CORRETIVA"
"6450611";"SYO4G05";"PREVENTIVA"
"6450610";"SYV6G54";""
"6450609";"RUR3F98";""
"6450608";"SSV3D49";"PREVENTIVA"
"6450607";"ENN7J41";"PREVENTIVA"
"6450606";"SYS9J93";"PREVENTIVA"
"6450605";"RVZ1I32";"PREVENTIVA"
"6450604";"GGC9F22";"PREVENTIVA"
"6450603";"RNQ0G12";"DESMOBILIZAÇÃO"
"6450602";"GFP7F94";"CORRETIVA"
"6450601";"SWP2C45";""
"6450600";"SHJ0B19";"CRLV"
"6450599";"QMY6D24";"CORRETIVA"
"6450598";"SVK9I66";"PREVENTIVA"
"6450597";"CVN7E40";"DESMOBILIZAÇÃO"
"6450596";"SSS2B80";"GUINCHO"
"6450595";"RNR3F74";"DESMOBILIZAÇÃO"
"6450594";"SII6J16";""
"6450593";"RUL2C78";"PREVENTIVA"
"6450592";"SUY6E00";"CORRETIVA"
"6450591";"SHH2I37";"CORRETIVA"
"6450590";"FUM7D23";"CORRETIVA"
"6450589";"SYE0I17";"CORRETIVA"
"6450588";"RNR3F68";"DESMOBILIZAÇÃO"
"6450587";"STQ4A31";"PREVENTIVA"
"6450586";"RNA7I83";"FURTO/ROUBO ACESSÓRIO"
"6450585";"RNQ0G00";"DESMOBILIZAÇÃO"
"6450584";"EXN9F81";"CORRETIVA"
"6450583";"RFY1A12";"PREVENTIVA"
"6450582";"EZX5I72";"PREVENTIVA"
"6450581";"SYP1C29";"PREVENTIVA"
"6450580";"TDB1B29";""
"6450578";"SUI0E35";""
"6450577";"RNR3F67";"DESMOBILIZAÇÃO"
"6450576";"SYY7G80";"PREVENTIVA"
"6450575";"STZ7E85";"PREVENTIVA"
"6450574";"FPX4E81";"CORRETIVA"
"6450573";"STR8I24";"PREVENTIVA"
"6450572";"SSR6B47";"CORRETIVA"
"6450571";"TKW2E11";"CORRETIVA"
"6450570";"SVY5C21";"PREVENTIVA"
"6450569";"FBU7G13";"PREVENTIVA"
"6450568";"GBE1B04";""
"6450567";"STN0C64";""
"6450566";"SHJ0A93";"CORRETIVA"
"6450565";"FBJ8G01";"VISTORIA DE DESMOBILIZAÇÃO"
"6450564";"FBJ8G01";"RASTREADOR RETIRADA"
"6450563";"TCJ0G59";"PREVENTIVA"
"6450562";"SWI2F33";"GUINCHO"
"6450561";"FQH7F53";"PREVENTIVA"
"6450560";"RMO0C82";""
"6450559";"FBJ8G01";"VISTORIA DE DESMOBILIZAÇÃO"
"6450558";"FBJ8G01";"RASTREADOR RETIRADA"
"6450557";"RUB2B84";"VISTORIA DE DESMOBILIZAÇÃO"
"6450556";"RUB2B84";"RASTREADOR RETIRADA"
"6450555";"SVX5E12";"CORRETIVA"
"6450554";"OPP2B13";"PREVENTIVA"
"6450553";"FBJ8G01";"DESMOBILIZAÇÃO"
"6450552";"SYP2C18";"CORRETIVA"
"6450551";"SYE0I24";""
"6450550";"RTK1F45";"FURTO/ROUBO ACESSÓRIO"
"6450549";"STL7D91";"PREVENTIVA"
"6450548";"RUB2B84";"VISTORIA DE DESMOBILIZAÇÃO"
"6450547";"RUB2B84";"RASTREADOR RETIRADA"
"6450546";"EJW2G91";"CORRETIVA"
"6450545";"RUB2B84";"DESMOBILIZAÇÃO"
"6450544";"QMV3H28";""
"6450543";"RVK6J35";"PREVENTIVA"
"6450542";"SYN3E26";"SINISTRO"
"6450541";"EHE2C04";"RASTREADOR RETIRADA"
"6450540";"EGB6A32";"RASTREADOR RETIRADA"
"6450539";"FCW9G02";"RASTREADOR RETIRADA"
"6450538";"FFI5C24";"RASTREADOR RETIRADA"
"6450537";"EPU8D51";"RASTREADOR RETIRADA"
"6450536";"RVW4J25";"CORRETIVA"
"6450535";"GIE9F53";"CORRETIVA"
"6450534";"ELE8F53";"RASTREADOR RETIRADA"
"6450533";"RUA7J95";"CORRETIVA"
"6450532";"STW1B83";"PREVENTIVA"
"6450531";"ESG8C54";"CORRETIVA"
"6450530";"GIE9F53";"CORRETIVA"
"6450529";"SIG4E61";"CORRETIVA"
"6450528";"FPJ6H92";""
"6450526";"RTM4B17";"CORRETIVA"
"6450525";"QMV4E52";"PREVENTIVA"
"6450524";"SVY3C69";"CORRETIVA"
"6450523";"STU8E21";"GUINCHO"
"6450522";"EHE2C04";"DESMOBILIZAÇÃO"
"6450521";"EGB6A32";"DESMOBILIZAÇÃO"
"6450520";"FCW9G02";"DESMOBILIZAÇÃO"
"6450519";"FKA8I94";"CORRETIVA"
"6450518";"FFI5C24";"DESMOBILIZAÇÃO"
"6450517";"EPU8D51";"DESMOBILIZAÇÃO"
"6450516";"ELE8F53";"DESMOBILIZAÇÃO"
"6450515";"SUD7H16";"CORRETIVA"
"6450514";"FDW5A11";"CORRETIVA"
"6450513";"SWN4C11";"SINISTRO"
"6450512";"SJG3F72";"CORRETIVA"
"6450511";"RVN3I93";"CORRETIVA"
"6450510";"STL7D91";"PREVENTIVA"
"6450509";"ROY9C70";"PREVENTIVA"
"6450508";"EJH6E22";"CORRETIVA"
"6450507";"SYR1D43";"PREVENTIVA"
"6450506";"QXO6B03";"CORRETIVA"
"6450505";"SVZ0F01";"PREVENTIVA"
"6450504";"EOF3A94";"CORRETIVA"
"6450502";"GCJ4J82";"PREVENTIVA"
"6450501";"RNV0C59";"CORRETIVA"
"6450500";"SYE3B63";"PREVENTIVA"
"6450499";"SVY2G61";"GUINCHO"
"6450498";"TIT0F60";"GUINCHO"
"6450497";"SYO9J85";"CORRETIVA"
"6450496";"RVW2H47";"CORRETIVA"
"6450495";"SIH1C87";"CORRETIVA"
"6450493";"RNF5G77";"CORRETIVA"
"6450492";"TKK7F05";""
"6450491";"RJD7D67";"CORRETIVA"
"6450490";"SVN1G16";"PREVENTIVA"
"6450489";"SYW5F34";"PREVENTIVA"
"6450488";"SJB3B50";"CORRETIVA"
"6450487";"ERR9H62";""
"6450486";"SWK7G02";""
"6450485";"RVW8B77";"CORRETIVA"
"6450484";"SYK3A44";"CORRETIVA"
"6450483";"RVS5I13";"CORRETIVA"
"6450482";"SUS1I21";"CORRETIVA"
"6450481";"SYP9D83";""
"6450480";"SHO6C07";"CORRETIVA"
"6450479";"SSZ6D05";"PREVENTIVA"
"6450478";"EBL5D72";"GUINCHO"
"6450477";"EKS2G83";""
"6450476";"QMZ1B52";"PREVENTIVA"
"6450475";"SIY2D21";"SINISTRO"
"6450474";"SYN3E26";"PREVENTIVA"
"6450473";"RUD0G31";"DESMOBILIZAÇÃO"
"6450472";"SYD1D50";"PREVENTIVA"
"6450471";"STZ0E54";"PREVENTIVA"
"6450470";"SYK4A60";"CORRETIVA"
"6450469";"TDE8A19";""
"6450468";"RUD0G31";"RASTREADOR RETIRADA"
"6450467";"SHF6J32";"RASTREADOR RETIRADA"
"6450466";"SHF6J32";"VISTORIA DE DESMOBILIZAÇÃO"
"6450465";"SHO3F46";"CORRETIVA"
"6450464";"FKA8I94";""
"6450463";"FGD6E12";"PREVENTIVA"
"6450462";"RNU0B78";"PREVENTIVA"
"6450461";"CZC4I76";"DESMOBILIZAÇÃO"
"6450460";"STJ3F51";"CORRETIVA"
"6450459";"SHF6J32";"DESMOBILIZAÇÃO"
"6450458";"SYY7H27";"CORRETIVA"
"6450457";"FVA2F91";"CORRETIVA"
"6450456";"SYP1C29";""
"6450455";"TKV6C17";"CORRETIVA"
"6450454";"FSR9G32";"PREVENTIVA"
"6450453";"STJ3G32";""
"6450452";"GCO0I64";""
"6450451";"SYO9J85";"CORRETIVA"
"6450449";"EQA5B11";"PREVENTIVA"
"6450448";"TMD0C54";"PREVENTIVA"
"6450447";"STL1A52";""
"6450446";"SHT7J54";""
"6450445";"EDX3H21";""
"6450444";"SWW9E83";""
"6450443";"TCB7E17";"CORRETIVA"
"6450442";"PVR1F38";"CORRETIVA"
"6450441";"RMF8B84";"PREVENTIVA"
"6450440";"SIT6G82";"PREVENTIVA"
"6450439";"TCP4A80";""
"6450438";"FQB2F72";"PREVENTIVA"
"6450437";"SSU5F37";"PREVENTIVA"
"6450436";"SIM1A21";"CORRETIVA"
"6450435";"ROL3H27";"CORRETIVA"
"6450434";"SYU8J41";"PREVENTIVA"
"6450433";"SSZ3D71";"CORRETIVA"
"6450432";"RNG0A39";"SINISTRO"
"6450431";"TJX9J01";"CORRETIVA"
"6450430";"SHO6B99";"CORRETIVA"
"6450429";"RVO2H61";"CORRETIVA"
"6450428";"TCM6F17";"CORRETIVA"
"6450427";"CUS7I99";""
"6450426";"STK4H81";""
"6450425";"SYU9J82";"PREVENTIVA"
"6450424";"EMV7E71";"CORRETIVA"
"6450423";"SUM5J82";"CORRETIVA"
"6450422";"SVA7G11";"CORRETIVA"
"6450421";"QMY6B30";"CORRETIVA"
"6450420";"SWJ4J12";"CORRETIVA"
"6450419";"TCP4I87";"PREVENTIVA"
"6450417";"RNW3I85";"CORRETIVA"
"6450416";"SYZ3C12";"PREVENTIVA"
"6450415";"RVO2I38";"CORRETIVA"
"6450414";"EJZ6G25";"SINISTRO"
"6450413";"TCL2H25";"PREVENTIVA"
"6450412";"EUI3A51";"GUINCHO"
"6450411";"PVR9E18";"PREVENTIVA"
"6450410";"SYX0D65";"PREVENTIVA"
"6450409";"SHO6B90";"PREVENTIVA"
"6450408";"SYU9J82";"PREVENTIVA"
"6450407";"EWG4G83";""
"6450406";"STY1G70";"CORRETIVA"
"6450405";"RFK4G32";""
"6450404";"SUH4I91";"PREVENTIVA"
"6450403";"TIX9E83";""
"6450402";"EBL5D72";""
"6450401";"STQ7J42";"PREVENTIVA"
"6450400";"SYI2J32";"SINISTRO"
"6450399";"FSZ6H24";"CORRETIVA"
"6450398";"OPP7E04";"CORRETIVA"
"6450397";"RNK7C90";""
"6450396";"RVH3F68";"CORRETIVA"
"6450395";"SUF2D82";"PREVENTIVA"
"6450394";"SHI4J63";"CORRETIVA"
"6450393";"SVN5I02";""
"6450392";"SSV1F75";""
"6450391";"ELU7B23";"CORRETIVA"
"6450390";"PZB4C08";""
"6450389";"STZ3I95";"PREVENTIVA"
"6450388";"SVU6H65";""
"6450387";"SIF8E27";"PREVENTIVA"
"6450386";"SYK2I98";"CORRETIVA"
"6450385";"STI7G20";""
"6450384";"SUH0B70";"PREVENTIVA"
"6450383";"SUB7H91";"CORRETIVA"
"6450382";"RVF4G32";""
"6450381";"RNS1B72";"PREVENTIVA"
"6450380";"RNJ2E72";"CORRETIVA"
"6450379";"SVH1B51";"PREVENTIVA"
"6450378";"SVS9B71";"PREVENTIVA"
"6450377";"SST4D05";""
"6450376";"SIK7A20";"CORRETIVA"
"6450375";"SVJ8E25";"PREVENTIVA"
"6450374";"SVS9B71";"PREVENTIVA"
"6450373";"SUB7H91";"PREVENTIVA"
"6450372";"SJB3B56";"PREVENTIVA"
"6450371";"SYK2I98";"CORRETIVA"
"6450370";"SYN1I60";"PREVENTIVA"
"6450369";"TCF3I72";"CORRETIVA"
"6450368";"TCC0D72";"CORRETIVA"
"6450367";"SYO9H45";""
"6450366";"SYO0E00";"PREVENTIVA"
"6450365";"CUR2F69";""
"6450364";"RNK0B65";""
"6450363";"GFP3C61";""
"6450362";"TCF3I69";"PREVENTIVA"
"6450361";"SUC7G40";"CORRETIVA"
"6450360";"ENU7B66";"CORRETIVA"
"6450359";"QWZ6276";"DESMOBILIZAÇÃO"
"6450358";"SYE1A33";"GUINCHO"
"6450357";"SWD8A95";"PREVENTIVA"
"6450356";"SWD8A95";"PREVENTIVA"
"6450355";"SYO1I61";"PREVENTIVA"
"6450354";"ELU7B23";"GUINCHO"
"6450353";"SIW9C79";"PREVENTIVA"
"6450352";"STM4F85";""
"6450351";"SUM2H59";"GUINCHO"
"6450350";"TDA9I50";"O.S Rápida"
"6450349";"SWW4I01";"PREVENTIVA"
"6450348";"FUE0H62";"PREVENTIVA"
"6450347";"SHE9F34";"PREVENTIVA"
"6450346";"SYO1G35";"PREVENTIVA"
"6450345";"SUE3G70";"PREVENTIVA"
"6450344";"TCF3I75";"PREVENTIVA"
"6450343";"ELY9A12";"CORRETIVA"
"6450342";"SST3D95";"CORRETIVA"
"6450341";"SIJ1I51";"CORRETIVA"
"6450340";"SVE4D21";""
"6450339";"SYI3J15";"CORRETIVA"
"6450337";"SYO0E00";"CORRETIVA"
"6450336";"FYG3I24";""
"6450335";"SYL0F58";"PREVENTIVA"
"6450334";"FHV2H71";"PREVENTIVA"
"6450333";"SWT4E03";"O.S Rápida"
"6450332";"FCK4J41";""
"6450331";"SUA3D82";""
"6450330";"RNE6B61";"RASTREADOR RETIRADA"
"6450329";"EML7I82";"PREVENTIVA"
"6450328";"FNO5H81";"PREVENTIVA"
"6450327";"FHS9G33";"GUINCHO"
"6450326";"SUD4I03";"PREVENTIVA"
"6450325";"SSV1F79";"CORRETIVA"
"6450324";"EQJ9B82";"CORRETIVA"
"6450323";"SYP7G19";"PREVENTIVA"
"6450322";"SYP1A03";"CORRETIVA"
"6450321";"SYP1A03";"CORRETIVA"
"6450320";"SYP1A03";"CORRETIVA"
"6450319";"EGI2G13";"CORRETIVA"
"6450318";"RVK6I90";"PREVENTIVA"
"6450317";"TIW9F62";"O.S Rápida"
"6450316";"SIP0E28";"CORRETIVA"
"6450315";"SIL3D28";"CORRETIVA"
"6450314";"SSV8G07";""
"6450312";"FTK5D31";"O.S Rápida"
"6450311";"RNM5G21";"CORRETIVA"
"6450310";"SYY3I26";"PREVENTIVA"
"6450309";"ELU7B23";""
"6450308";"PVR9C70";"CORRETIVA"
"6450307";"TLD9F99";"SINISTRO"
"6450306";"STL6G37";"PREVENTIVA"
"6450305";"SWL4B87";"O.S Rápida"
"6450304";"SYX0D67";"PREVENTIVA"
"6450303";"SYP1A03";"PREVENTIVA"
"6450302";"RNE6B61";"DESMOBILIZAÇÃO"
"6450301";"SSW4G38";"CORRETIVA"
"6450300";"SUJ5C71";"SINISTRO"
"6450299";"STO3C58";""
"6450298";"SSW8G87";""
"6450297";"EZL6F22";"CORRETIVA"
"6450296";"SUH1F10";"PREVENTIVA"
"6450295";"CUR2F69";""
"6450294";"SVN0D32";""
"6450293";"RMG6C85";"CORRETIVA"
"6450292";"SIG4E10";""
"6450291";"SWC9E66";"GUINCHO"
"6450290";"GGH8G14";""
"6450289";"SWD3I31";""
"6450288";"TIV3C18";"SINISTRO"
"6450287";"TDE5A71";"CORRETIVA"
"6450286";"SYH7I82";"PREVENTIVA"
"6450285";"EUT3G82";"PREVENTIVA"
"6450284";"GCJ4J82";""
"6450283";"RNK7J85";"PREVENTIVA"
"6450282";"TDB0D59";"O.S Rápida"
"6450281";"TDB0D29";"O.S Rápida"
"6450280";"TDB0D57";"O.S Rápida"
"6450279";"STU3D21";""
"6450278";"SUU2B71";"PREVENTIVA"
"6450277";"GCF7J82";""
"6450276";"ERR9H62";""
"6450275";"EPU2C54";"CORRETIVA"
"6450274";"RNS3H30";"CORRETIVA"
"6450273";"TIU0C39";""
"6450272";"SJH4F85";"PREVENTIVA"
"6450271";"SYU9I21";"SINISTRO"
"6450270";"SUV5H42";""
"6450269";"GCJ4J82";""
"6450268";"SWR0E13";""
"6450267";"TCJ0G74";""
"6450266";"SVA8B40";"RASTREADOR RETIRADA"
"6450265";"QMV4F83";"PREVENTIVA"
"6450264";"TDB0B21";"O.S Rápida"
"6450263";"SVA8B40";"DESMOBILIZAÇÃO"
"6450262";"FHS9G33";""
"6450261";"TDB2B05";"CORRETIVA"
"6450260";"TDC5H53";"O.S Rápida"
"6450259";"SHI5C46";"CORRETIVA"
"6450258";"SUG3J22";"CORRETIVA"
"6450257";"RUV8I85";"CORRETIVA"
"6450256";"EGU6H02";"CORRETIVA"
"6450255";"TDC5H54";"O.S Rápida"
"6450254";"SVK4B74";""
"6450253";"SIV5G10";""
"6450252";"SST5D99";"CORRETIVA"
"6450251";"TCY2C86";"O.S Rápida"
"6450250";"SUF9G80";"CORRETIVA"
"6450249";"QMV3G53";"CORRETIVA"
"6450248";"ENG9I95";"PREVENTIVA"
"6450247";"SUI6B61";"PREVENTIVA"
"6450246";"SWM5D53";"CORRETIVA"
"6450245";"TDK1J81";"CORRETIVA"
"6450243";"RNV7D86";"CORRETIVA"
"6450242";"SIR7B56";""
"6450241";"TCG2H51";"PREVENTIVA"
"6450240";"SIW0I11";"PREVENTIVA"
"6450238";"SSX8A60";"CORRETIVA"
"6450237";"TLF2H03";"SINISTRO"
"6450236";"SST4J98";"CORRETIVA"
"6450235";"GCO0I64";"PREVENTIVA"
"6450234";"QMV3I26";"PREVENTIVA"
"6450233";"SUJ4H35";"PREVENTIVA"
"6450232";"FRZ5H32";"PREVENTIVA"
"6450231";"SVS4B20";"PREVENTIVA"
"6450230";"STL1I16";"PREVENTIVA"
"6450229";"SWZ0B81";"PREVENTIVA"
"6450228";"EKS2G83";"CORRETIVA"
"6450227";"SYO4G23";""
"6450226";"TDE4H81";"CORRETIVA"
"6450225";"FOV8A73";"PREVENTIVA"
"6450224";"FOV8A73";"SINISTRO"
"6450223";"GFW2B41";""
"6450222";"SSZ1G02";"PREVENTIVA"
"6450221";"SIW0I97";"CORRETIVA"
"6450220";"RUM7G03";"CORRETIVA"
"6450219";"SYO4G23";"SINISTRO"
"6450218";"RVE7J96";"PREVENTIVA"
"6450217";"FCH4J31";"PREVENTIVA"
"6450216";"SYO4G23";""
"6450215";"SUR1C32";"CORRETIVA"
"6450214";"SHL3J11";"CORRETIVA"
"6450213";"TDF5B19";"CORRETIVA"
"6450212";"SSU3C49";"PREVENTIVA"
"6450210";"SYU9I21";"CORRETIVA"
"6450209";"SUH4I91";"PREVENTIVA"
"6450208";"FXV4B53";"CORRETIVA"
"6450207";"SUK1G23";"SINISTRO"
"6450206";"STO7G91";"SINISTRO"
"6450205";"SIW0H25";""
"6450204";"STX4H71";"CORRETIVA"
"6450203";"GBZ0J61";""
"6450202";"TMG3J23";""
"6450201";"GFP3C61";"SINISTRO"
"6450200";"SSW6G77";"CORRETIVA"
"6450199";"SSR5D59";"CORRETIVA"
"6450198";"SYY8F05";"PREVENTIVA"
"6450197";"EXL9D63";"PREVENTIVA"
"6450196";"TDG7F52";"CORRETIVA"
"6450195";"EDL2J73";""
"6450194";"SYO4G23";"PREVENTIVA"
"6450193";"STD6H31";"CORRETIVA"
"6450192";"SYO4G23";""
"6450191";"SIF8C97";"CORRETIVA"
"6450190";"RUH8C35";"CORRETIVA"
"6450189";"STH1J10";"CORRETIVA"
"6450188";"TCC3F76";"PREVENTIVA"
"6450187";"TDG7F52";"CORRETIVA"
"6450186";"EQF6I31";"CORRETIVA"
"6450185";"SVZ2G75";"PREVENTIVA"
"6450184";"FCP9F21";"CORRETIVA"
"6450183";"SYR1D61";"CORRETIVA"
"6450182";"SYO1G42";"PREVENTIVA"
"6450181";"QUI9132";"CORRETIVA"
"6450180";"GJE0F31";"PREVENTIVA"
"6450179";"SYF0E26";"PREVENTIVA"
"6450178";"TJF1J74";"CORRETIVA"
"6450177";"SHG7H97";"CORRETIVA"
"6450176";"EJV4I32";"PREVENTIVA"
"6450175";"TCK6C19";"SINISTRO"
"6450174";"STR0H12";""
"6450173";"SHM8D03";"PREVENTIVA"
"6450172";"SHM8D03";"PREVENTIVA"
"6450171";"STR2D17";"PREVENTIVA"
"6450170";"TIU0C39";""
"6450169";"CUR8E49";"CORRETIVA"
"6450168";"FBK8A64";"CORRETIVA"
"6450167";"RVN5H38";"GUINCHO"
"6450166";"EIO6E94";"PREVENTIVA"
"6450165";"FXV4B53";"PREVENTIVA"
"6450164";"SSX7B37";"CORRETIVA"
"6450163";"QXJ0273";"CORRETIVA"
"6450162";"SSR7H41";"PREVENTIVA"
"6450160";"SYG8F95";"CORRETIVA"
"6450159";"SYU5A64";"PREVENTIVA"
"6450158";"TJK6A35";"CORRETIVA"
"6450157";"RMR1G22";"CORRETIVA"
"6450156";"SSY0I20";""
"6450155";"SSR0I60";"PREVENTIVA"
"6450154";"TLV7F78";"CORRETIVA"
"6450153";"SYR1E47";"CORRETIVA"
"6450152";"SSX0G67";""
"6450151";"TIV5D64";""
"6450150";"RVK0F91";"PREVENTIVA"
"6450149";"STH1J10";""
"6450148";"TJJ0J35";"O.S Rápida"
"6450147";"RNC2G35";"CRLV"
"6450146";"RVX2E74";"PREVENTIVA"
"6450145";"SYO4D46";"CORRETIVA"
"6450144";"SYO9H52";"PREVENTIVA"
"6450143";"SUK8J01";""
"6450142";"EQF6I31";""
"6450141";"SWG9B80";""
"6450140";"EQU1E02";"CORRETIVA"
"6450139";"ROL3H19";"CORRETIVA"
"6450138";"SYX8C39";"SINISTRO"
"6450137";"SYT6J13";"CORRETIVA"
"6450136";"SYY3H94";"CORRETIVA"
"6450135";"RML9C25";"CORRETIVA"
"6450134";"EMA3F13";""
"6450133";"RVM9F02";"CORRETIVA"
"6450132";"EWZ4E71";"CORRETIVA"
"6450131";"FCY9G22";"DESMOBILIZAÇÃO"
"6450130";"FCY9G22";"RASTREADOR RETIRADA"
"6450129";"SIG8I10";"CORRETIVA"
"6450128";"RMP7B48";"GUINCHO"
"6450127";"FNV3I92";"CORRETIVA"
"6450126";"SVB6F62";"CORRETIVA"
"6450125";"SYE1G51";"CORRETIVA"
