"Atendimento";"Placa";"Motivo OS"
"6481903";"EHN8H65";"PREVENTIVA"
"6481902";"TCJ8J24";"PREVENTIVA"
"6481901";"SWP4J01";""
"6481900";"TLD9F99";""
"6481899";"GJS5F33";"CORRETIVA"
"6481898";"SYU5B46";"ENVIO DE 2º VIA DE PLACA"
"6481897";"TJT9G15";"PREVENTIVA"
"6481896";"EHN8H65";"PREVENTIVA"
"6481895";"SVV5E51";""
"6481894";"SJI3G21";"CORRETIVA"
"6481893";"EVH1C81";"PREVENTIVA"
"6481892";"SYU5H27";"CORRETIVA"
"6481891";"SVF1F43";"CORRETIVA"
"6481890";"EOA4G65";"CORRETIVA"
"6481889";"TCJ8I23";"PREVENTIVA"
"6481888";"EHN8H65";"CORRETIVA"
"6481887";"SUR3F65";"PREVENTIVA"
"6481886";"SIH1C94";"PREVENTIVA"
"6481885";"EXY7E22";"CORRETIVA"
"6481884";"RVS5D40";"GUINCHO"
"6481883";"SVJ2A43";""
"6481882";"SSR5J84";"GUINCHO"
"6481881";"SHW2C49";""
"6481880";"RVN4F67";"CORRETIVA"
"6481879";"RVN4F69";"PREVENTIVA"
"6481878";"RVH3F49";"GUINCHO"
"6481877";"RUA8A55";"PREVENTIVA"
"6481876";"SUR6C15";""
"6481875";"QMZ0C31";"CORRETIVA"
"6481874";"SHE8F38";"CORRETIVA"
"6481873";"SHH3E23";"PREVENTIVA"
"6481872";"TJF2F90";"PREVENTIVA"
"6481871";"STB7J25";""
"6481870";"TCA1D03";"PREVENTIVA"
"6481869";"TCA1D03";"PREVENTIVA"
"6481868";"EGJ1A15";"SINISTRO"
"6481867";"SYG0A65";""
"6481866";"SWF1I54";""
"6481865";"STF7G03";"PREVENTIVA"
"6481864";"SYE1A04";""
"6481863";"RTN1A23";"SINISTRO"
"6481862";"SUT5I30";"PREVENTIVA"
"6481861";"TKY6J00";""
"6481860";"SYN3D98";"CORRETIVA"
"6481859";"EJV8J41";"CORRETIVA"
"6481858";"OPP0C35";"CORRETIVA"
"6481857";"FDZ9A82";""
"6481856";"SIY2C52";"RASTREADOR RETIRADA"
"6481855";"SJD8D27";"CORRETIVA"
"6481854";"SIY2C52";"DESMOBILIZAÇÃO"
"6481853";"SYQ0B32";"PREVENTIVA"
"6481852";"SHJ6A73";"SINISTRO"
"6481851";"SSV4A72";""
"6481850";"STB2B07";"SINISTRO"
"6481849";"SVH4I54";"PREVENTIVA"
"6481848";"SVD5I90";"PREVENTIVA"
"6481847";"FXJ4G71";""
"6481846";"STQ9J40";"PREVENTIVA"
"6481845";"STD2G70";"PREVENTIVA"
"6481844";"SHG5F12";"CORRETIVA"
"6481843";"RMG8J72";"CORRETIVA"
"6481842";"ELT3G24";"SINISTRO"
"6481841";"RMY9A49";"DESMOBILIZAÇÃO"
"6481840";"SUZ7D73";""
"6481839";"EJW8I24";"CORRETIVA"
"6481838";"SIU3D56";"RASTREADOR RETIRADA"
"6481837";"SWA8B71";""
"6481836";"SYE1A04";"GUINCHO"
"6481835";"SHE6E84";"RASTREADOR RETIRADA"
"6481834";"SIU3D56";"DESMOBILIZAÇÃO"
"6481833";"SJC0E58";"CORRETIVA"
"6481832";"QPE8126";"O.S Rápida"
"6481831";"SYK7D74";"PREVENTIVA"
"6481830";"RMO2E83";"PREVENTIVA"
"6481829";"SVF0D16";""
"6481828";"SSS3F42";""
"6481827";"SYY6B35";"SINISTRO"
"6481826";"TKV2J77";"PREVENTIVA"
"6481825";"SYT7A28";"CORRETIVA"
"6481824";"SWS6I27";""
"6481823";"RUW1B90";"VISTORIA DE DESMOBILIZAÇÃO"
"6481822";"RUW1B90";"RASTREADOR RETIRADA"
"6481821";"SHH3E23";"PREVENTIVA"
"6481820";"SYP1B41";"PREVENTIVA"
"6481819";"RTB1A29";"PREVENTIVA"
"6481818";"ELU4F71";"CORRETIVA"
"6481817";"TLC4G11";""
"6481816";"SHP0C58";"CORRETIVA"
"6481815";"RVX2E87";"RASTREADOR RETIRADA"
"6481814";"RVX2E87";"VISTORIA DE DESMOBILIZAÇÃO"
"6481813";"FOS5H63";"CORRETIVA"
"6481812";"SYQ0B52";"CORRETIVA"
"6481811";"RVX2E87";"DESMOBILIZAÇÃO"
"6481810";"SYQ0B32";"PREVENTIVA"
"6481809";"TJF2A28";""
"6481808";"FPT7E14";"PREVENTIVA"
"6481807";"SVA1B40";""
"6481806";"SUZ3B22";"GUINCHO"
"6481805";"SYP3C43";"CORRETIVA"
"6481804";"TJR0B09";"CORRETIVA"
"6481803";"FUM5B52";"PREVENTIVA"
"6481802";"EHC2J84";"CORRETIVA"
"6481801";"SWF1I54";"GUINCHO"
"6481800";"SVK5A41";"PREVENTIVA"
"6481799";"SVK5A41";"PREVENTIVA"
"6481798";"SYH7J78";"PREVENTIVA"
"6481797";"RVF6F26";""
"6481796";"FSD9D24";"CORRETIVA"
"6481795";"SYQ2G93";"PREVENTIVA"
"6481794";"SYG8G27";"PREVENTIVA"
"6481793";"SUJ3B00";"PREVENTIVA"
"6481792";"TDI6B22";"SINISTRO"
"6481791";"STJ8D62";""
"6481790";"TDL1J93";"SINISTRO"
"6481789";"GAA9A43";"CORRETIVA"
"6481788";"STC8H73";"CORRETIVA"
"6481787";"TDC4H23";""
"6481786";"SYQ2G93";"PREVENTIVA"
"6481785";"GEU4D32";""
"6481784";"RVC8D54";"CORRETIVA"
"6481783";"SYQ2G93";"PREVENTIVA"
"6481782";"STN5F00";"PREVENTIVA"
"6481781";"FJH6I86";"CORRETIVA"
"6481780";"STP9C20";"PREVENTIVA"
"6481779";"SYT6J20";"CORRETIVA"
"6481778";"TCJ0G75";"PREVENTIVA"
"6481777";"SVB3E32";""
"6481776";"RUY5A69";"PREVENTIVA"
"6481775";"ESS2F52";"RASTREADOR RETIRADA"
"6481774";"ESP1C81";"RASTREADOR RETIRADA"
"6481773";"SHE6E84";"DESMOBILIZAÇÃO"
"6481772";"STH1B80";"PREVENTIVA"
"6481771";"ESS2F52";"DESMOBILIZAÇÃO"
"6481770";"ESP1C81";"DESMOBILIZAÇÃO"
"6481769";"TCN3J44";"CORRETIVA"
"6481768";"FVR8D54";"CORRETIVA"
"6481767";"SSY3J86";"CORRETIVA"
"6481766";"STP0C21";"PREVENTIVA"
"6481765";"RUW1B90";"DESMOBILIZAÇÃO"
"6481764";"EIO8B24";"CORRETIVA"
"6481763";"STN5F00";"PREVENTIVA"
"6481762";"SJH7H74";""
"6481761";"GBT7A63";"GUINCHO"
"6481760";"SYU6C83";"PREVENTIVA"
"6481759";"TKY6J00";""
"6481758";"SYE6I72";"PREVENTIVA"
"6481756";"SYH7H90";""
"6481755";"ROF5J86";"DESMOBILIZAÇÃO"
"6481754";"EQU6H65";"RASTREADOR RETIRADA"
"6481753";"TDC0J01";"PREVENTIVA"
"6481752";"GBM6B91";"CORRETIVA"
"6481751";"EVI8E63";"CORRETIVA"
"6481750";"EQU6H65";"DESMOBILIZAÇÃO"
"6481749";"FOP2I01";"PREVENTIVA"
"6481748";"FPN9G12";""
"6481747";"EPU3H03";"RASTREADOR RETIRADA"
"6481746";"SVO8E80";"GUINCHO"
"6481745";"STE3F61";"CORRETIVA"
"6481744";"EPU3H03";"DESMOBILIZAÇÃO"
"6481743";"EPJ7A42";"RASTREADOR RETIRADA"
"6481742";"SVZ5F12";""
"6481741";"EOQ2B63";"RASTREADOR RETIRADA"
"6481740";"TJQ6B67";""
"6481739";"STP0C21";"SINISTRO"
"6481738";"EPJ7A42";"DESMOBILIZAÇÃO"
